title,sentiment_score
"Rupee slips to all-time low pressured by weak yuan, importer dollar bids",-0.5859
Indian central bank seen loosening stranglehold on rupee in 2025,0.0
Курс доллара вновь резко подскочил,0.0
"India rupee seen under pressure, bonds to track US peers",-0.128
Предновогодний скачок доллара объяснили,0.0
МВД задержало организаторов Sincere Systems Group Ltd за аферы на 100 миллионов долларов,0.4019
Задержание руководителей Sincere Systems Group попало на видео,0.4019
Pepperstone joins Aston Martin stable on multi-year partnership deal,-0.1027
Dollar dominance waning – IMF data,0.0
Эксперты дали прогноз по курсу рубля на 2025 год,0.0
Miran’s Manifesto,0.0
Inside The Market Analysis Engine Of FXSentry: How Avenix Fzco's Forex Robot Regulates Forex Trades,0.25
Inside the Market Analysis Engine of FXSentry: How Avenix Fzco's Forex Robot Regulates Forex Trades,0.25
Johor trader loses RM2.1mil in forex investment scam,-0.9169
Avenix Fzco Takes On Forex Trading With New FXSpire Robot,-0.1531
Why Avenix Fzco's FXDyno Is Poised To Set New Standards In Automated Forex Trading,0.25
Forex Trading On Auto-Pilot: Avenix Fzco's FXGenix Merges Human Logic With Digital Precision,0.5859
Here’s why silver might just be your shining investment i 2025,0.5423
Two men get jail for cheating investors in S$23 million forex trading pyramid scheme,-0.4404
Курс доллара превышал 107 рублей на международном рынке,0.0
Курс доллара на Forex поднялся до 111 рублей,0.0
Avenix Fzco Rolls Out FXiBot: A Forex Robot With Multi-Indicator Strategy,-0.5719
"Japan's government 'alarmed' by recent forex moves, top officials say",0.3182
Tech Firm Avenix Fzco Refines Automated Forex Trading With New Forexigo Robot,0.3818
"Доллар на международном рынке вырос до 103,5 рублей",0.0
ไทม์ไลน์ ดีเจแมน-ใบเตย สู้คดี Forex-3D จนถึงวันศาลยกฟ้อง ปล่อยตัวจากเรือนจำ,0.0
"Доллар на Forex подскочил более чем на 7% и торгуется выше 106,5 рубля",0.0
"Bitcoin Soars to Record High Above $106K, Then Retreats as Hawkish Fed Rate Cut Looms",0.1796
Oscurati i siti che mostravano deepfake con Giorgia Meloni e Sergio Mattarella,0.0
"ЦБ установил курс доллара на 17 декабря на уровне 102,9 руб.",0.0
"Курс доллара на Forex поднялся выше 106,5 рубля",0.0
"คดี Forex-3D ศาลสั่งคุกแก๊งหนุน ""อภิรักษ์"" เกือบ 5 หมื่นปี คืน 2.4 พันล้าน",0.0
[Removed],0.0
China’s Push for 7% Growth Faces Big Challenges,0.3818
Мосбиржа росла во время «Итогов года» с Путиным,0.0
ใบเตย ยืนยันความบริสุทธิ์ ถอดกำไล EM วันนี้ รอรับ ดีเจแมน กลับบ้านเจอลูกสาว,0.0
Экономист предрёк дальнейшее ослабление курса гривны,0.0
Ajit Ranade: Rupee depreciation is inevitable but exchange-rate volatility is not,0.9313
Jail for man who ran S$5 million Ponzi scheme while posing as 'successful' forex trader,0.6705
Court acquits celebrity duo of fraud,0.6908
Proč je Forex mezi Čechy stále populárnější?,0.0
Bank of Korea chief sees no crisis-like signs in forex market,0.7227
Курс доллара на Forex торгуется выше 111 рублей,0.0
Курс доллара на Forex поднялся выше 103 рублей,0.0
Перед Новым годом курс валют поставит антирекорд. На какую отметку выйдет рубль,0.0
Курс доллара на Forex опустился ниже 100 рублей,0.0
Банда криптовалютчиков «с FOREX» выманила у россиян $100 млн и донатила ВСУ,0.4019
По делу Sincere Systems Group LTD о мошенничестве на $100 млн задержаны подозреваемые,0.4019
Warri refinery revival will reduce pressure on forex – Delta senator,0.3612
Предел значений: доллар не превысит 105 рублей в I квартале,0.0
PICTORIAL: Police share phone numbers of senior officers in Ogun,0.6486
"Рынок акций РФ находился в ""зеленой зоне"" после завершения прямой линии с Путиным",0.0
МВД задержало организаторов региональных сетей компании Sincere Systems Group,0.0
China Introduces New Forex Rules To Tighten Crypto Oversight and Target Illegal Cross-Border Transactions,0.0
Net forex inflow fell to $14bn in Q3 – CBN,0.0
Should RBI shift gear on its managed float of the Indian rupee?,0.7579
"In Nigeria’s crude capital, a plan to win the war against oil theft",0.2732
"Российский рынок продолжает находится в ""зеленой зоне"" на фоне ""прямой линии"" с Путиным",0.0
Banking system faces huge liquidity deficit,-0.4019
Rupee down 3 paise against dollar,-0.5267
Forex allocations for fuel imports rise to $1.25bn,0.0
"Naira defies CBN’s forex reforms, tumbled 41% in 2024",0.4215
Forex market turnover hits N23.9tn on high investor activity,0.2023
Trump’s Push To Shut Down the Axis of Upheaval Starts With LNG,0.6486
Rusya'da uluslararası ödemeler için Bitcoin kullanımına başlandı,0.0
Sevilla celebrate Super Eagles winger Ejuke in Igbo post,0.8268
Аналитик объяснил рост курса доллара,0.0
JUST IN: AC Milan appoints Sergio Conceicao as new coach,0.0
JUST IN: Jeju Air CEO banned from leaving South Korea after fatal crash,-0.9062
PICTORIAL: Akeredolu’s mausoleum unveiled by family in his hometown,0.4215
Meta scraps fact-checking program for X-like community notes feature,0.0
Задержаны руководители укравшей более $100 млн банды криптомошенников,0.0
Petróleo sobe com possível interrupção de oferta e expectativa de demanda na China,0.0
AI Bot Wows The Crowds With Unprecedented Stock Earnings,0.0
A Super-Strong Dollar Adds To US Equity Risk,0.6187
Vitafoam proposes N1.375bn dividend as gross profit hits N30bn,0.8834
China's new forex rules require banks to tighten scrutiny on cryptocurrency trades,-0.4391
"Wike, sons pay christmas visit to Tinubu in Lagos",0.6249
"Man kills, mother, four sisters to protect them from neighbours",-0.875
JUST IN: Makinde appoints 45 permanent secretaries,0.4215
BREAKING: Lagos gov signs N3.366trn 2025 budget,0.4019
Yen falls to upper 157 range against dollar as BOJ hike expectations fade,0.1154
東京匯市早盤美元指數脫離26個月高位，日圓、英鎊和歐元小彈,0.0
"Forex-3D scammers get nearly 50,000 years each",-0.6597
MultiBank Group Celebrates Success at Traders Fair Hong Kong 2024,0.836
"2024 hardest year of my life, I lost $3.7m in forex – Mark Angel",-0.628
EUR/USD outlook: Forex Friday,-0.6705
Chinese Investors Chase Returns Abroad as Local Markets Struggle,0.7678
"Japan's government 'alarmed' by recent forex moves, top officials say",-0.1531
"Ripple Stablecoin RLUSD Is A ‘Trojan Horse’ For DeFi And Banking, Claims Venture Capitalist",0.3612
Is it time for India to rethink its forex reserve strategy?,0.0516
Transiting from 2024 to 2025 will have its uncertainties,0.3818
Economics & Investing For Preppers,0.743
Economics & Investing For Preppers,0.743
FX utilisation dips on lower invisible transactions,0.0772
"Domestic, global headwinds challenge Indian central bank's forex intervention",-0.7351
XRP Price Sets Stage for Bullish Continuation: What’s Next?,0.8625
Dogecoin (DOGE) Plummets: Bears Take Full Control of the Market,0.4019
XRP Price Battles Key Hurdles: Can Bulls Prevail?,0.1779
BNB Price Rebound Possible: Can It Climb Back to $720?,0.5423
